,Player,Matches,Points,Runs,100s,50s,6s,Wickets,4w,5w,Price
0,Sunil Narine,16,379.5,357,0,2,23,17,0,0,"9,50,00,000"
1,Shane Watson,15,318,555,2,2,35,6,0,0,"4,00,00,000"
2,Kane Williamson,17,273,735,0,8,28,0,0,0,"3,00,00,000"
3,Hardik Pandya,13,269.5,260,0,1,11,18,0,0,"11,00,00,000"
4,Ambati Rayudu,16,256.5,602,1,3,34,0,0,0,"2,20,00,000"
5,Shakib Al Hasan,17,237,239,0,0,5,14,0,0,"2,00,00,000"
6,Suryakumar Yadav,14,228.5,512,0,4,16,0,0,0,"3,20,00,000"
7,Shikhar Dhawan,16,226.5,497,0,4,14,0,0,0,"5,20,00,000"
8,Dinesh Karthik,16,223.5,498,0,2,16,0,0,0,"7,40,00,000"
9,Umesh Yadav,14,223,0,0,0,0,20,0,0,"4,20,00,000"
10,AB de Villiers,12,217.5,480,0,6,30,0,0,0,"12,50,00,000"
11,Virat Kohli,14,213,530,0,4,18,0,0,0,"17,00,00,000"
12,Jasprit Bumrah,14,205,0,0,0,0,17,0,0,"7,00,00,000"
13,Trent Boult,14,203.5,0,0,0,0,18,0,0,"2,20,00,000"
14,MS Dhoni,16,200,455,0,3,30,0,0,0,"15,00,00,000"
15,Suresh Raina,15,179.5,445,0,4,12,0,0,0,"11,00,00,000"
16,Piyush Chawla,15,175,27,0,0,1,14,0,0,"4,20,00,000"
17,Yuzvendra Chahal,14,175,0,0,0,0,12,0,0,"6,00,00,000"
18,Chris Gayle,11,174.5,368,1,3,27,0,0,0,"2,00,00,000"
19,Ravindra Jadeja,16,169.5,89,0,0,4,11,0,0,"7,00,00,000"
20,Jaydev Unadkat,15,169,49,0,0,1,11,0,0,"11,50,00,000"
21,Bhuvneshwar Kumar,12,163,13,0,0,0,9,0,0,"8,50,00,000"
22,Sandeep Sharma,12,163,0,0,0,0,12,0,0,"3,00,00,000"
23,Robin Uthappa,16,161,351,0,1,21,0,0,0,"6,40,00,000"
24,Shreyas Iyer,14,158.5,411,0,4,21,0,0,0,"7,00,00,000"
25,Mitchell McClenaghan,11,158,0,0,0,0,14,0,0,"1,00,00,000"
26,Sanju Samson,15,154,441,0,3,19,0,0,0,"8,00,00,000"
27,Glenn Maxwell,12,126,169,0,0,9,5,0,0,"9,00,00,000"
28,Karun Nair,13,125.5,301,0,2,13,0,0,0,"5,60,00,000"
29,Ajinkya Rahane,15,125,370,0,1,5,0,0,0,"4,00,00,000"
30,Rohit Sharma,14,124.5,286,0,2,12,0,0,0,"15,00,00,000"
31,Amit Mishra,10,116,0,0,0,0,12,0,0,"4,00,00,000"
32,Harbhajan Singh,13,113.5,29,0,0,1,7,0,0,"2,00,00,000"
33,Yusuf Pathan,15,106.5,260,0,0,11,1,0,0,"1,90,00,000"
34,Tim Southee,8,100,52,0,0,1,5,0,0,"1,00,00,000"
35,Manish Pandey,15,95,284,0,3,5,0,0,0,"11,00,00,000"
36,Mandeep Singh,14,88.5,252,0,0,11,0,0,0,"1,40,00,000"
37,Harshal Patel,5,84,60,0,0,6,7,0,0,"20,00,000"
38,Mohit Sharma,9,82,0,0,0,0,7,0,0,"2,40,00,000"
39,Axar Patel,9,78,80,0,0,4,3,0,0,"12,50,00,000"
40,Parthiv Patel,6,71.5,153,0,1,4,0,0,0,"1,70,00,000"
41,Dhawal Kulkarni,8,70.5,0,0,0,0,4,0,0,"75,00,000"
42,Faf du Plessis,6,66,162,0,1,6,0,0,0,"1,60,00,000"
43,Imran Tahir,6,66,0,0,0,0,6,0,0,"1,00,00,000"
45,Brendon McCullum,6,63.5,127,0,0,6,0,0,0,"3,60,00,000"
46,Mitchell Johnson,6,63,16,0,0,0,2,0,0,"2,00,00,000"
47,Chris Morris,4,61,46,0,0,2,3,0,0,"8,00,00,000"
48,Wriddhiman Saha,11,61,122,0,0,1,0,0,0,"5,00,00,000"
49,Kieron Pollard,9,59.5,133,0,1,7,0,0,0,"5,40,00,000"
50,Aaron Finch,10,53,134,0,0,8,0,0,0,"6,20,00,000"
51,Mayank Agarwal,11,45,120,0,0,5,0,0,0,"1,00,00,000"
52,Karn Sharma,6,37.5,0,0,0,0,4,0,0,"5,00,00,000"
53,Shahbaz Nadeem,6,34,0,0,0,0,3,0,0,"3,20,00,000"
54,Deepak Hooda,9,29,87,0,0,3,0,0,0,"3,60,00,000"
55,Gautam Gambhir,6,26,85,0,1,1,0,0,0,"2,80,00,000"
56,Yuvraj Singh,8,24.5,65,0,0,2,0,0,0,"2,00,00,000"
57,Vinay Kumar,2,22.5,0,0,0,0,2,0,0,"1,00,00,000"
58,Manan Vohra,4,19,55,0,0,4,0,0,0,"1,10,00,000"
59,Stuart Binny,7,16.5,44,0,0,2,0,0,0,"50,00,000"
60,David Miller,3,14.5,74,0,0,2,0,0,0,"3,00,00,000"
61,Pawan Negi,2,12.5,0,0,0,0,1,0,0,"1,00,00,000"
62,Anureet Singh,3,10,0,0,0,0,1,0,0,"30,00,000"
63,Kedar Jadhav,1,9.5,24,0,0,2,0,0,0,"7,80,00,000"
64,Ankit Sharma,1,1,0,0,0,0,0,0,0,"20,00,000"
65,Naman Ojha,1,0,0,0,0,0,0,0,0,"1,40,00,000"
