,Player,Matches,Points,Runs,100s,50s,6s,Wickets,4w,5w
0,Andre Russell,13,312.0,326.0,0.0,3.0,19.0,14.0,0.0,0.0
1,Dwayne Bravo,17,284.0,195.0,0.0,1.0,5.0,26.0,0.0,0.0
2,David Warner,14,256.0,562.0,0.0,7.0,21.0,0.0,0.0,0.0
3,Ashish Nehra,16,254.5,0.0,0.0,0.0,0.0,22.0,1.0,0.0
4,AB de Villiers,16,247.0,513.0,1.0,2.0,22.0,0.0,0.0,0.0
5,Harbhajan Singh,15,241.5,117.0,0.0,1.0,9.0,18.0,0.0,0.0
6,Chris Gayle,14,236.0,491.0,1.0,2.0,38.0,0.0,0.0,0.0
7,Lasith Malinga,15,231.5,0.0,0.0,0.0,0.0,24.0,1.0,0.0
8,Lendl Simmons,13,228.5,540.0,0.0,6.0,21.0,0.0,0.0,0.0
9,Shane Watson,10,227.0,347.0,1.0,1.0,14.0,6.0,0.0,0.0
10,JP Duminy,14,218.5,414.0,0.0,4.0,20.0,8.0,1.0,0.0
11,Dwayne Smith,16,216.0,399.0,0.0,2.0,16.0,1.0,0.0,0.0
12,Kieron Pollard,16,215.0,419.0,0.0,2.0,28.0,3.0,0.0,0.0
13,Brendon McCullum,14,213.0,436.0,1.0,2.0,23.0,0.0,0.0,0.0
14,Bhuvneshwar Kumar,14,210.0,17.0,0.0,0.0,1.0,18.0,0.0,0.0
15,Axar Patel,14,206.5,206.0,0.0,0.0,8.0,13.0,0.0,0.0
16,Sandeep Sharma,14,195.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0
17,Mitchell Starc,13,195.0,11.0,0.0,0.0,0.0,20.0,1.0,0.0
18,Mohit Sharma,16,192.0,28.0,0.0,0.0,2.0,14.0,0.0,0.0
19,Suresh Raina,17,192.0,374.0,0.0,2.0,16.0,2.0,0.0,0.0
20,Chris Morris,11,191.0,76.0,0.0,0.0,5.0,13.0,1.0,0.0
21,Moises Henriques,9,191.0,287.0,0.0,2.0,13.0,11.0,0.0,0.0
22,Nathan Coulter-Nile,11,190.5,20.0,0.0,0.0,1.0,15.0,1.0,0.0
23,Rohit Sharma,16,188.5,482.0,0.0,3.0,21.0,0.0,0.0,0.0
24,Mitchell McClenaghan,12,188.0,13.0,0.0,0.0,2.0,18.0,0.0,0.0
25,Virat Kohli,16,187.5,505.0,0.0,3.0,23.0,0.0,0.0,0.0
26,Ajinkya Rahane,14,185.5,540.0,0.0,4.0,13.0,0.0,0.0,0.0
27,David Wiese,14,185.5,122.0,0.0,0.0,4.0,16.0,1.0,0.0
28,Ravindra Jadeja,17,183.0,132.0,0.0,0.0,3.0,11.0,1.0,0.0
29,Shreyas Iyer,14,181.0,439.0,0.0,4.0,21.0,0.0,0.0,0.0
30,Yuzvendra Chahal,15,180.5,0.0,0.0,0.0,0.0,23.0,0.0,0.0
