,Tweets,Player,Cosine Similarity,sentiment
2000,congratulations to @chennaiipl on winning the #ipl2018finals ..hard luck to the @sunrikane_williamsons ..you guys were brilliant throughout..it was a super intense and super interesting #ipl this year..great to be a part of it representing @rajasthanroyals @ipl #ipl2018,Dhawal Kulkarni,0.0015278460189418021,0.9774
3112,#whistlepodu ! we are the #ipl2018 champions!! this win is for you fans.. you have also stuck by me after i got injured & have motivated me to get fit soon.thank you for your love & support! it all began at wankhede & itûªs a great feeling to lift the trophy here. #csk @chennaiipl pic.twitter.com/adgsbrviox,Kedar Jadhav,0.00121881189557321,0.9731
3105,#whistlepodu ! we are the #ipl2018 champions!! this win is for you fans.. you have also stuck by me after i got injured & have motivated me to get fit soon.thank you for your love & support! it all began at wankhede & itûªs a great feeling to lift the trophy here. #csk @chennaiipl,Kedar Jadhav,0.0012547859184944706,0.9731
128,"you did a great job ravindra_jadeja ...we are very proud of a #srh fans as you showing great effort throughout the #ipl2018 and kane williamson also great leader , good luck to next year.. https:// twitter.com/tommoodycricke t/status/1000987138672898048 û_",Kane Williamson,0.016099692504164625,0.9705
2571,2016 - karn sharbhajan_singhma played for srh and they're the champion. 2017 - he played for mi and they're the champion now in 2018 - he played for csk and they won the ipl. the lucky charbhajan_singhm! #ipl2018 #cskvsrh,Karn Sharma,0.0013479015098726084,0.9674
102,"i loved kane williamson as a captain of #srh - in a world that glorifies fist-thumping, on-your-face aggression, he showed mature, calm and dignified leadership. the world needs more of his kind, not just the 'riling up controversies for the sake of votebank' kind. #ipl2018",Kane Williamson,0.013723678501489658,0.9663
668,orange cap winner - #kanewilliamson purple cap winner - @aj191 fair play award - @mipaltan perfect catch of the season - @trent_trent_boultt_trent_boult_trent_boult #kanewilliamson #andrewtye #mumbaiindians #trentboult #ipl2018 pic.twitter.com/wjqith7inu,Trent Boult,0.001614574162635208,0.9612
2574,story of karn sharbhajan_singhma :- 2016 - played for srh & srh became champion 2017 - played for mi & mi became champion 2018 - playing for chennai & u know @chennaiipl a champion #cskvssrh #ipl2018 #iplfinal,Karn Sharma,0.0014754149830239285,0.9538
409,it was great journey for fans as well... we loved it so much... thanks @kkriders @iamsrk @dineshkarthik #ipl2018 #ipl #kkr #kkrhaitaiyaar good luck for upcoming games and for next year,Dinesh Karthik,0.0016654590426814324,0.9522
3113,from kedar jadhav from the start to watson at the last everyone came in each tim_tim_southeee to win the #ipl2018 for #csk !! true champions! #cskvsrh #final #dhoni fired every single person who doubted him! and watson!! the best all rounder !! #rayudu also played brilliantly.,Kedar Jadhav,0.0733247799515894,0.9522
2743,"@dineshkarthik and @gautamgambati_ambati_rayuduyuduhir both tireless soldiers of indian cricket, often overshadowed by the bling..both having brought out their best with the blingiest of them all @iamsrk at @kkriders ! congratulations !! hope you win this #ipl2018",Gautam Gambhir,0.0014546737455258924,0.9491
772,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina he said this two weeks ago and they did! #dhoni #ipl2018",Suresh Raina,0.044068804404078975,0.9481
754,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina he said this two weeks ago and they did! #dhoni #ipl2018",Suresh Raina,0.044068804404078975,0.9481
773,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina he said this two weeks ago and they did! #dhoni #ipl2018",Suresh Raina,0.044068804404078975,0.9481
758,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina he said this two weeks ago and they did! #dhoni #ipl2018",Suresh Raina,0.044068804404078975,0.9481
771,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina he said this two weeks ago and they did! #dhoni #ipl2018",Suresh Raina,0.044068804404078975,0.9481
768,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina he said this two weeks ago and they did! #dhoni #ipl2018",Suresh Raina,0.044068804404078975,0.9481
765,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina he said this two weeks ago and they did! #dhoni #ipl2018",Suresh Raina,0.044068804404078975,0.9481
767,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina he said this two weeks ago and they did! #dhoni #ipl2018",Suresh Raina,0.044068804404078975,0.9481
766,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina he said this two weeks ago and they did! #dhoni #ipl2018",Suresh Raina,0.044068804404078975,0.9481
769,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina he said this two weeks ago and they did! #dhoni #ipl2018 """,Suresh Raina,0.044068804404078975,0.9481
770,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina he said this two weeks ago and they did! #dhoni #ipl2018",Suresh Raina,0.044068804404078975,0.9481
2734,"@gautamgambati_ambati_rayuduyuduhir may be the forgotten man of #ipl2018 , but never forget he led @kkriders to two wonderful triumphs amid great odds, besides several play-offs. he inspired self-belief in them when they were being mocked and ridiculed. #respect",Gautam Gambhir,0.0012363592470412844,0.9464
98,what a finale it was! popman had the best tim_tim_southeee watching the brilliant shane watson in action. kudos to the champions of ipl 2018! #popman #readytoeat #healthysnack #partysnack #lightraho #anytim_tim_southeeeanywhere #gourmetpopcorn #cricketfever #ipl2018 #iplcricket2018 pic.twitter.com/h1ung7xfry,Shane Watson,0.03641599310824558,0.9458
764,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina #ipl2018playoffs #ipl2018",Suresh Raina,0.034538906593111714,0.9456
763,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina #ipl2018playoffs #ipl2018",Suresh Raina,0.034538906593111714,0.9456
762,""" dhoni got quite emotional. he cares so much for chennai, we all do. he has been amazing for csk since 2008 and is one of the nicest guys around. so this tim_tim_southeee, we want to win the ipl for dhoni "" ~ suresh raina #ipl2018playoffs #ipl2018",Suresh Raina,0.034538906593111714,0.9456
2052,"congratulations to #chennaisuperkings and my captain ms dhoni, mr super cool. #ipl2018 . sa was well represented in the team by lungi ngidi and faf du plessis . congratulations guys",Faf du Plessis,0.0793029199953751,0.9442
7,"sunil narine , the most valuab_ab_ab_villiersliers_ab_ab_villiersliersle player of #ipl2018 is easily our pick for the best all-rounder in cricindeed's best xi of ipl 2018 check here our best xi --> https:// goo.gl/8ypnmg #ipl2018final #kkrhaitaiyaar pic.twitter.com/htholodp9u",Sunil Narine,0.049067873358882214,0.9432
1687,"if we compared post 15 over comparison, #srh were ahead by couple to #rcb with 8 wickets in hand but credit to mohammed siraj and tim southee was excellent last 4 overs they bowled containing the top over, was critical in the win #srhvrcb #rcbvsrh #ipl2018 #ipl #ipl11 pic.twitter.com/wukllvsri3",Tim Southee,0.001336367040009959,0.9432
