,Player
0,Sunil Narine
1,Shane Watson
2,Kane Williamson
3,Hardik Pandya
4,Ambati Rayudu
5,Shakib Al Hasan
6,Suryakumar Yadav
7,Shikhar Dhawan
8,Dinesh Karthik
9,Umesh Yadav
10,AB de Villiers
11,Virat Kohli
12,Jasprit Bumrah
13,Trent Boult
14,MS Dhoni
15,Suresh Raina
16,Piyush Chawla
17,Yuzvendra Chahal
18,Chris Gayle
19,Ravindra Jadeja
20,Jaydev Unadkat
21,Bhuvneshwar Kumar
22,Sandeep Sharma
23,Robin Uthappa
24,Shreyas Iyer
25,Mitchell McClenaghan
26,Sanju Samson
27,Glenn Maxwell
28,Karun Nair
29,Ajinkya Rahane
30,Rohit Sharma
31,Amit Mishra
32,Harbhajan Singh
33,Yusuf Pathan
34,Tim Southee
35,Manish Pandey
36,Mandeep Singh
37,Harshal Patel
38,Mohit Sharma
39,Axar Patel
40,Parthiv Patel
41,Dhawal Kulkarni
42,Faf du Plessis
43,Imran Tahir
44,Barinder Sran
45,Brendon McCullum
46,Mitchell Johnson
47,Chris Morris
48,Wriddhiman Saha
49,Kieron Pollard
50,Aaron Finch
51,Mayank Agarwal
52,Karn Sharma
53,Shahbaz Nadeem
54,Deepak Hooda
55,Gautam Gambhir
56,Yuvraj Singh
57,Vinay Kumar
58,Manan Vohra
59,Stuart Binny
60,David Miller
61,Pawan Negi
62,Anureet Singh
63,Kedar Jadhav
64,Ankit Sharma
65,Naman Ojha
