,Player,Price
0,Faf Du Plessis,"4,75,00,000"
1,Dwayne Smith,"4,50,00,000"
2,Brendon McCullum,"3,25,00,000"
3,Ashish Nehra,"2,00,00,000"
4,Mohit Sharma,"2,00,00,000"
5,Ishwar Chandra Pandey,"1,50,00,000"
6,Ben Hilfenhaus,"1,00,00,000"
7,John Hastings,"50,00,000"
8,Samuel Badree,"30,00,000"
9,Matt Henry,"30,00,000"
10,Mithun Manhas,"30,00,000"
11,Vijay Shankar,"10,00,000"
12,Ronit More,"10,00,000"
13,Baba Aparajith,"10,00,000"
14,Pawan Negi,"10,00,000"
15,Dinesh Karthik,"12,50,00,000"
16,Kevin Pietersen,"9,00,00,000"
17,Murali Vijay,"5,00,00,000"
18,Mohammad Shami,"4,25,00,000"
19,Nathan Coulter-Nile,"4,25,00,000"
20,Quinton De Kock,"3,50,00,000"
21,Manoj Tiwary,"2,80,00,000"
22,Jaydev Unadkat,"2,80,00,000"
23,Jean-Paul Duminy,"2,20,00,000"
24,Ross Taylor,"2,00,00,000"
25,Kedar Jadhav,"2,00,00,000"
26,Rahul Sharma,"1,90,00,000"
27,Mayank Agarwal,"1,60,00,000"
28,Laxmi Ratan Shukla,"1,50,00,000"
29,James Neesham,"1,00,00,000"
30,Wayne Parnell,"1,00,00,000"
31,Shahbaz Nadeem,"85,00,000"
32,Saurabh Tiwary,"70,00,000"
33,Siddarth Kaul,"45,00,000"
34,Rahul Shukla,"40,00,000"
35,Jayant Yadav,"10,00,000"
36,HS Sharath,"10,00,000"
37,Milind Kumar,"10,00,000"
38,Mitchell Johnson,"6,50,00,000"
39,Glenn Maxwell,"6,00,00,000"
40,George Bailey,"3,25,00,000"
41,Virender Sehwag,"3,20,00,000"
42,Rishi Dhawan,"3,00,00,000"
43,Wriddhiman Saha,"2,20,00,000"
44,Shaun Marsh,"2,20,00,000"
45,Cheteshwar Pujara,"1,90,00,000"
46,Beuran Hendricks,"1,80,00,000"
47,Lakshmipathy Balaji,"1,80,00,000"
48,Thisara Perera,"1,60,00,000"
49,Gurkirat Singh Mann,"1,30,00,000"
50,Murali Kartik,"1,00,00,000"
51,Sandeep Sharma,"85,00,000"
52,Mandeep Hardev Singh,"80,00,000"
53,Akshar Rajesh Patel,"75,00,000"
54,Parvinder Awana,"65,00,000"
55,Shardul Narendra Thakur,"20,00,000"
56,Anureet Singh,"20,00,000"
57,Shivam Sharma,"10,00,000"
58,Karanveer Singh,"10,00,000"
59,Jacques Kallis,"5,50,00,000"
60,Robin Uthappa,"5,00,00,000"
61,Piyush Chawla,"4,25,00,000"
62,Yusuf Pathan,"3,25,00,000"
63,Shakib Al Hasan,"2,80,00,000"
64,Morne Morkel,"2,80,00,000"
65,Ranganath Vinay Kumar,"2,80,00,000"
66,Umesh Yadav,"2,60,00,000"
67,Manish Pandey,"1,70,00,000"
68,Chris Lynn,"1,30,00,000"
69,Patrick Cummins,"1,00,00,000"
70,Ryan Ten Doeschate,"1,00,00,000"
71,Suryakumar Yadav,"70,00,000"
72,Andre Russell,"60,00,000"
73,Manvinder Bisla,"60,00,000"
74,Veer Pratap Singh,"40,00,000"
75,Kuldeep Singh Yadav,"40,00,000"
76,Debabrata Das,"20,00,000"
77,Sayan Sekhar Mandal,"10,00,000"
78,Michael Hussey,"5,00,00,000"
79,Corey Anderson,"4,50,00,000"
80,Pragyan Ojha,"3,25,00,000"
81,Zaheer Khan,"2,60,00,000"
82,Aditya Tare,"1,60,00,000"
83,Jasprit Bumrah,"1,20,00,000"
84,Jalaj Saxena,"90,00,000"
85,Josh Hazlewood,"50,00,000"
86,Marchant De Lange,"30,00,000"
87,Krismar Santokie,"30,00,000"
88,Ben Dunk,"20,00,000"
89,C.M. Gautam,"20,00,000"
90,Apoorv Vijay Wankhade,"10,00,000"
91,Pawan Suyal,"10,00,000"
92,Sushant Marathe,"10,00,000"
93,Shreyas Gopal,"10,00,000"
94,Steven Smith,"4,00,00,000"
95,Brad Hodge,"2,40,00,000"
96,Rajat Bhatia,"1,70,00,000"
97,Tim Southee,"1,20,00,000"
98,Dhawal Kulkarni,"1,10,00,000"
99,Abhishek Nayar,"1,00,00,000"
100,Kane Richardson,"1,00,00,000"
101,Ben Cutting,"80,00,000"
102,Karun Nair,"75,00,000"
103,Unmukt Chand,"65,00,000"
