username,tweet,date
abinmbr,Download Best App for IPL 2018 and check All Details about IPL 2018: #IPL2018 #VIVOIPL http:// dlvr.it/QMxPXl pic.twitter.com/0JeugXlJBq,3/30/18 18:29
jadu_saikia,My version of the #IPL2018 fixture ! @IPL pic.twitter.com/ebeUa6dq7i,3/30/18 18:09
_fight_right,@KKRiders with #KKR losing the key player #starc Letâ€™s see who is going to be the replacement. #cantwait #IPL2018 #SRH #ipl #IPL11 #IPL,3/30/18 17:40
CricketPhD,"Injuries, injuries and more injuries. A perennial world cricket problem, a perennial fast bowler problem and a perennial #KKR problem too, by the look of things. Theyâ€™ll need a good replacement along with #MitchellJohnson . #DavidWilley would be ideal #MitchellStarc #IPL #IPL2018",3/30/18 17:31
thesolankimj,"#PassionForRR #BESTvsBEST @rajasthanroyals IN my opinion, You are nothing without @stevesmith49 .... ""Baaki Upar Wale ke Haath me Hain"". #RR #IPL #IPL2018 #IPLT20",3/30/18 17:10
predict_22,"The ICC World Cup Qualifiers saw many new developments, the most important ones for IPL 18 involved @NepalCricket @ACBofficials and @westindies . Let's take a look at player performances and what this means for IPL 18. #IPL2018 #cricket #analytics https://www. predict22.com/article/ipl18- icc-wcq â€_",3/30/18 16:21
Imrajashekar14,@yuzi_chahal is looking for a place to hide after seeing this . #RajasthanRoyals #IPL #VIVOIPL #IPL2018 pic.twitter.com/u6aC9Tgidz,3/30/18 16:04
predict_22,"The U19 Cricket World Cup was a display of talent. Both KKR and DD have invested heavily in the promise of that talent, snapping up 3 players each? Will their investment pay off come IPL 18? #IPL2018 #KKR #DelhiDaredevils #analytics #cricket https://www. predict22.com/article/ipl18- u19-stars â€_",3/30/18 15:59
Ajay_2708,It's okay if @davidwarner31 & @stevesmith49 aren't allowed to play in IPL . But I do think they should be allowed at least to join their respective dugouts to boost their teams as well as their own confidence! @ShuklaRajiv @IPL @SunRisers @rajasthanroyals #IPL2018,3/30/18 15:52
MyVote99,Should Aiden Markram play in IPL ? #IPL2018 #IPL11,3/30/18 15:42
cricketrecords9,Mumbai Indians vs Chennai Super Kings IPL Head to Head Stats & Records https:// livecricketrecords.com/mumbai-indians -vs-chennai-super-kings-ipl-head-to-head-stats-records/ â€_ #IPL #IPL2018 #IPL11 #MIvsCSK @mipaltan @ChennaiIPL @msdhoni @ImRo45 #BESTvsBEST #VIVOIPL #IPLFantasy,3/30/18 15:34
